id,dateOfQuestion,checkInTime,checkOutTime,name,duration,status,user_id,dayOfQuestion
811,2023-04-01,2023-04-01 00:00:00+05:45,2023-04-01 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
812,2023-04-01,2023-04-01 00:00:00+05:45,2023-04-01 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
813,2023-04-08,2023-04-08 00:00:00+05:45,2023-04-08 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
814,2023-04-08,2023-04-08 00:00:00+05:45,2023-04-08 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
815,2023-04-15,2023-04-15 00:00:00+05:45,2023-04-15 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
816,2023-04-15,2023-04-15 00:00:00+05:45,2023-04-15 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
817,2023-04-22,2023-04-22 00:00:00+05:45,2023-04-22 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
818,2023-04-22,2023-04-22 00:00:00+05:45,2023-04-22 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
819,2023-04-29,2023-04-29 00:00:00+05:45,2023-04-29 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
820,2023-04-29,2023-04-29 00:00:00+05:45,2023-04-29 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
821,2023-03-04,2023-03-04 00:00:00+05:45,2023-03-04 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
822,2023-03-04,2023-03-04 00:00:00+05:45,2023-03-04 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
823,2023-03-11,2023-03-11 00:00:00+05:45,2023-03-11 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
824,2023-03-11,2023-03-11 00:00:00+05:45,2023-03-11 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
825,2023-03-18,2023-03-18 00:00:00+05:45,2023-03-18 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
826,2023-03-18,2023-03-18 00:00:00+05:45,2023-03-18 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
827,2023-03-25,2023-03-25 00:00:00+05:45,2023-03-25 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
828,2023-03-25,2023-03-25 00:00:00+05:45,2023-03-25 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
829,2023-02-04,2023-02-04 00:00:00+05:45,2023-02-04 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
830,2023-02-04,2023-02-04 00:00:00+05:45,2023-02-04 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
831,2023-02-11,2023-02-11 00:00:00+05:45,2023-02-11 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
832,2023-02-11,2023-02-11 00:00:00+05:45,2023-02-11 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
833,2023-02-18,2023-02-18 00:00:00+05:45,2023-02-18 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
834,2023-02-18,2023-02-18 00:00:00+05:45,2023-02-18 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
835,2023-02-25,2023-02-25 00:00:00+05:45,2023-02-25 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
836,2023-02-25,2023-02-25 00:00:00+05:45,2023-02-25 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
837,2023-01-07,2023-01-07 00:00:00+05:45,2023-01-07 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
838,2023-01-07,2023-01-07 00:00:00+05:45,2023-01-07 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
839,2023-01-14,2023-01-14 00:00:00+05:45,2023-01-14 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
840,2023-01-14,2023-01-14 00:00:00+05:45,2023-01-14 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
841,2023-01-21,2023-01-21 00:00:00+05:45,2023-01-21 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
842,2023-01-21,2023-01-21 00:00:00+05:45,2023-01-21 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
843,2023-01-28,2023-01-28 00:00:00+05:45,2023-01-28 00:00:00+05:45,Aanand Rimal,,Holiday,2,Saturday
844,2023-01-28,2023-01-28 00:00:00+05:45,2023-01-28 00:00:00+05:45,Rayal Khatri,,Holiday,1,Saturday
